id,text,class
10038PBR,Tôi rất thất vọng về chất lượng giảng dạy của giáo viên,1
10039GMA,Khóa học này là một trò lừa đảo,1
10040HHM,Giảng viên giảng bài như đọc sách,1
10041ZIW,Tôi cực kỳ thất vọng về chất lượng giảng dạy,1
10042JRL,Phương pháp giảng dạy lỗi thời,1
10043MGM,Hệ thống quản lý lớp học hỗn loạn,1
10044GIJ,Mức độ khó của bài tập quá cao so với kiến thức được dạy,1
10045GAA,Tôi cảm thấy bị lừa dối bởi những lời quảng cáo hoa mỹ,1
10046LBB,Giáo viên thiếu sự chuẩn bị bài giảng,1
10047YZW,Thật sự quá tệ,1
10048ZQZ,Tôi đã phản ánh nhiều lần nhưng không được giải quyết,1
10049HFB,Thời lượng học tập quá ngắn,1
10050YJA,Giáo trình giảng dạy lạc hậu,1
10051FDQ,Tôi cảm thấy bị đối xử bất công,1
10052PJW,Môi trường học tập thiếu chuyên nghiệp,1
10053CKJ,Giáo viên thiếu kinh nghiệm giảng dạy,1
10054UXC,Tôi rất hối hận vì đã tham gia khóa học này,1
10055JFF,Giảng viên không nhiệt tình,1
10056EOB,Giáo viên thiếu sự chuẩn bị kỹ lưỡng,1
10057NWE,Tôi rất thất vọng về sự thiếu trách nhiệm của giáo viên,1
10058UKP,Hệ thống hỗ trợ sinh viên kém,1
10059YSL,Chất lượng bài giảng quá kém,1
10060MNT,Tôi cảm thấy bị đối xử bất công,1
10061AON,Phương pháp dạy học nhàm chán,1
10062JNX,Giáo viên không có kỹ năng sư phạm,1
10063KMA,Khóa học này thật sự là một thảm họa,1
10064LKH,Tôi đã phản ánh nhiều lần nhưng không được giải quyết,1
10065BEK,Giáo viên không cập nhật kiến thức mới,1
10066RYF,Tôi cảm thấy rất khó chịu với thái độ của giáo viên,1
10067TFT,Tôi rất thất vọng về sự thiếu chuyên nghiệp của giáo viên,1
10068HWI,Khóa học này là một trò lừa đảo,1
10069CMG,Thật sự chán nản với cách giảng dạy của giáo viên,1
10070BAP,Đây là khóa học tệ nhất mà tôi từng tham gia,1
10071ZZA,Khóa học này là một trò lừa đảo,1
10072RRM,Giảng viên giảng bài như đọc sách,1
10073SQG,Tôi đã phí bao nhiêu thời gian và tiền bạc vào khóa học này,1
10074VZH,Thật sự thất vọng tột cùng về chất lượng đào tạo,1
10075VQK,Phương pháp giảng dạy lỗi thời,1
10076SGM,Tôi không thể tin nổi vào sự thiếu chuyên nghiệp của giáo viên,1
10077ZSS,Tôi cảm thấy bị bỏ rơi và không được quan tâm trong suốt quá trình học tập,1
10078RDV,Tôi đã phản ánh nhiều lần nhưng không được giải quyết,1
10079PJL,Khóa học này chẳng khác nào một bãi rác kiến thức,1
10080NCU,Tôi cảm thấy mình bị đối xử bất công và thiếu tôn trọng,1
10081RSZ,Giảng viên không có kỹ năng sư phạm,1
10082GQE,Tôi rất thất vọng về sự thiếu trách nhiệm của trường học,1
10083FCS,Tôi cảm thấy bị ép buộc phải học những thứ mình không thích,1
10084ZVO,Bài tập quá nhiều và không cần thiết,1
10085CSW,Tôi cảm thấy bị coi thường và không được tôn trọng,1
10086PGW,Tôi cảm thấy rất chán nản và tuyệt vọng khi học khóa học này,1
10087RRZ,Tôi đã nỗ lực hết sức nhưng vẫn không đạt được kết quả như mong muốn,1
10088OMZ,Tôi cảm thấy mình như bị bỏ mặc trong suốt quá trình học tập,1
10089EBK,Khóa học này là một trò lừa đảo,1
10090ZKE,Giáo viên giảng bài như đọc kịch bản,1
10091JJZ,Tôi đã bỏ ra cả đống tiền,1
10092JDX,Thật sự quá tệ,1
10093BLN,Phương pháp giảng dạy lỗi thời,1
10094IIW,Học phí đắt đỏ mà chất lượng giảng dạy lại quá kém,1
10095WVT,Tôi đã mất rất nhiều thời gian và công sức nhưng vẫn không hiểu gì,1
10096JOH,Tôi cực kỳ thất vọng về khóa học này,1
10097BVY,Tôi cảm thấy mình bị bỏ rơi,1
10098OQB,Tôi đã nỗ lực hết sức nhưng vẫn không đạt được kết quả như mong muốn,1
10099ULW,Tôi cảm thấy bị coi thường,1
10100DFV,Thời gian học tập bị lãng phí,1
10101LQO,Khóa học này là một trò hề,1
10102PNZ,Tôi đã bỏ ra cả đống tiền và thời gian nhưng chẳng thu được gì ngoài sự thất vọng tột cùng,1
10103HHP,Thật sự quá tệ,1
10104NSJ,Phương pháp giảng dạy lỗi thời,1
10105BKX,Tôi ghét cái cách giáo viên đối xử với học sinh,1
10106GJI,Giáo viên giảng bài thiếu mạch lạc,1
10107NPN,Tôi cực kỳ thất vọng về chất lượng giảng dạy của trường,1
10108YVM,Mọi thứ đều tệ hại,1
10109FZA,Giáo viên không hề quan tâm đến học sinh,1
10110SQR,Tôi cảm thấy bị coi thường và không được tôn trọng trong lớp học,1
10111APR,Khóa học này là một thảm họa,1
10112RBC,Tôi đã rất cố gắng nhưng vẫn không thể theo kịp bài giảng,1
10113XOP,Tôi cảm thấy mình bị bỏ rơi và không được quan tâm trong lớp học,1
10114QXU,Tôi rất thất vọng về thái độ phục vụ của giáo viên,1
10115OTT,Tôi rất tiếc vì đã tham gia khóa học này,1
10116AHI,Giảng viên giảng bài như đọc sách,1
10117YEH,Tôi hối hận vô cùng khi đã đăng ký khóa học này,1
10118OXW,Giáo viên này chẳng khác nào một con robot,1
10119BIM,Khóa học này là một trò hề,1
10120BIF,Giáo viên giảng bài như đọc sách,1
10121BTA,Tôi đã bỏ ra cả đống tiền cho khóa học này,1
10122WKH,Học phí đắt đỏ nhưng chất lượng giảng dạy lại tồi tệ,1
10123OXK,Thật nực cười,1
10124NYG,Tôi đã rất mong chờ khóa học này,1
10125JRN,Bài giảng khô khan,1
10126ARB,Tôi không thể tin nổi,1
10127SNF,Giáo viên giảng bài thiếu mạch lạc,1
10128ACF,Tôi đã phản hồi nhiều lần về chất lượng giảng dạy kém,1
10129XHM,Chất lượng khóa học quá tệ,1
10130QAX,Giáo viên thiếu chuyên môn,1
10131JMR,Tôi đã mất rất nhiều thời gian và công sức cho khóa học này,1
10132LPL,Khóa học này hoàn toàn không đáng đồng tiền bát gạo,1
10133ERC,Tôi rất hối hận khi tham gia khóa học này,1
10134TUS,Thời gian học tập bị lãng phí vô ích,1
10135KKF,Giáo viên không hề quan tâm đến học sinh,1
10136JOR,Môi trường học tập tồi tàn,1
10137JPZ,Tôi cảm thấy bị lừa dối bởi những lời quảng cáo hoa mỹ về khóa học này,1
10138QKU,Giáo trình giảng dạy lỗi thời,1
10139LRN,Tôi đã cố gắng hết sức để theo kịp bài giảng,1
10140GRZ,Khóa học này là một thảm họa,1
10141OUU,Tôi đã phản ánh nhiều lần về chất lượng giảng dạy kém,1
10142COJ,Giáo viên thiếu sự chuẩn bị bài giảng,1
10143PWY,Tôi rất thất vọng về khóa học này,1
10144WJS,Giáo viên giảng bài thiếu sự nhiệt huyết,1
10145RBD,Tôi đã đầu tư rất nhiều thời gian và công sức cho khóa học này,1
10146ZWE,Khóa học này là một sự lãng phí tiền bạc và thời gian,1
10147FTQ,Tôi rất hối hận khi đã tham gia khóa học này,1
10148VAH,Giáo viên thiếu kiên nhẫn,1
10149SXG,Tôi đã rất mong chờ khóa học này,1
10150AHO,Chất lượng giảng dạy tệ hại,1
10151ARY,Giáo viên thiếu chuyên môn,1
10152IZH,Tôi đã mất rất nhiều thời gian và công sức cho khóa học này,1
10153UJB,Khóa học này hoàn toàn không đáng đồng tiền bát gạo,1
10154RQA,Tôi rất hối hận khi tham gia khóa học này,1
10155LIO,Tôi cảm thấy bị lừa dối bởi những lời quảng cáo hoa mỹ về khóa học này,1
10156BMT,Giáo trình giảng dạy lỗi thời,1
10157XIU,Tôi đã cố gắng hết sức để theo kịp bài giảng,1
10158OZJ,Khóa học này là một thảm họa,1
10159AZZ,Tôi đã phản ánh nhiều lần về chất lượng giảng dạy kém,1
10160WHQ,Giáo viên thiếu sự chuẩn bị bài giảng,1
10161RKA,Tôi rất thất vọng về khóa học này,1
10162ABP,Giáo viên giảng bài thiếu sự nhiệt huyết,1
10163BZU,Tôi đã đầu tư rất nhiều thời gian và công sức cho khóa học này,1
10164DGP,Khóa học này là một sự lãng phí tiền bạc và thời gian,1
10165XSA,Tôi rất hối hận khi đã tham gia khóa học này,1
10166XVJ,Giáo viên thiếu kiên nhẫn,1
10167IGJ,Khóa học này là một trò hề,1
10168IIH,Giảng viên giảng bài như đọc sách,1
10169FPQ,Tôi cảm thấy bị lừa dối,1
10170LXB,Giáo viên này quá tệ,1
10171XJA,Tôi cảm thấy bị bỏ rơi,1
10172RFV,Khóa học này là một trò lừa đảo trắng trợn,1
10173PVI,Phương pháp giảng dạy lạc hậu,1
10174MYX,Giáo trình lỗi thời,1
10175KRT,Thật sự tôi thấy hối hận khi tham gia khóa học này,1
10176PGL,Giảng viên thiếu chuyên nghiệp,1
10177LIC,Khóa học này là một trò hề,1
10178PQF,Giáo viên giảng bài như đọc kịch bản,1
10179NCD,Tôi đã bỏ ra cả đống tiền cho khóa học này mà chất lượng lại như thế này,1
10180PAC,Thầy cô chỉ biết đọc giáo trình,1
10181GLK,Hệ thống giáo dục này đã giết chết sự sáng tạo của tôi,1
10182WME,Phương pháp giảng dạy lỗi thời,1
10183LNT,Tôi đã báo cáo rất nhiều lần về vấn đề này nhưng không được giải quyết,1
10184AUX,Chất lượng giảng dạy quá tệ,1
10185KUI,Tôi cảm thấy bị lừa dối khi tham gia khóa học này,1
10186QOX,Tôi đã mất rất nhiều thời gian và công sức cho khóa học này nhưng không thu được kết quả gì,1
10187DUI,Giáo viên thiếu sự quan tâm đến học sinh,1
10188VIN,Tôi muốn được hoàn lại tiền học phí vì chất lượng giảng dạy quá tệ hại và không đáp ứng được yêu cầu!,0
10189YFT,Phương pháp dạy học lỗi thời,1
10190NGR,Giáo viên không tạo được động lực học tập cho học sinh,1
10191ZBG,Khóa học này là một trò hề,1
10192UDS,Giáo viên giảng bài như đọc kinh,1
10193XNW,Tôi không thể tin được chất lượng giảng dạy tệ hại như vậy,1
10194KPN,Thật sự quá thất vọng về khóa học này,1
10195AKJ,Phương pháp dạy của giáo viên này thật sự khó hiểu và gây khó chịu,1
10196ANF,Tôi đã bỏ ra rất nhiều tiền nhưng lại nhận được chất lượng đào tạo tệ hại như vậy,1
10197XZQ,Cả khóa học chỉ toàn là lý thuyết suông,1
10198NHU,Giáo viên này không có tâm với nghề,1
10199TDX,Tôi ghét cách giảng dạy của giáo viên này,1
10200TML,Khóa học này là một thảm họa,1
10201SNR,Hệ thống giáo dục này thật sự tệ hại,1
10202QJA,Tôi đã nỗ lực rất nhiều nhưng kết quả vẫn không như mong muốn,1
10203HBV,Tôi không thể chịu đựng được nữa rồi,1
10204KCJ,Tôi cảm thấy bị bỏ rơi trong lớp học này,1
10205RMI,Tôi rất tức giận khi phải học trong một môi trường giáo dục tệ hại như thế này,1
10206OGT,Tôi cảm thấy mình bị đối xử bất công trong lớp học này,1
10207KGQ,Chất lượng giảng dạy của trường này thật sự quá tệ,1
10208UDA,Tôi đã cố gắng hết sức để học tập nhưng kết quả vẫn rất tệ,1
10209XKC,Tôi không thể nào hiểu được những gì giáo viên giảng dạy,1
10210GDG,Khóa học này hoàn toàn không đáp ứng được nhu cầu của tôi,1
10211SVZ,Giáo viên này luôn tỏ ra khó chịu và thiếu kiên nhẫn với sinh viên,1
10212WZD,Tôi cảm thấy mình như đang bị tra tấn khi phải học khóa học này,1
10213ENH,Tôi ghét cách giáo viên này kiểm tra bài tập,1
10214WWP,Tôi đã rất kỳ vọng vào khóa học này nhưng cuối cùng lại vô cùng thất vọng,1
10215ZVZ,Giáo viên này luôn nói xấu sinh viên khác trước mặt mọi người,1
10216CHM,Tôi cảm thấy rất cô đơn và lạc lõng trong lớp học này,1
10217NVR,Tôi cảm thấy mình bị lãng phí thời gian và tiền bạc khi học khóa học này,1
10218VFP,Tôi rất khó chịu khi giáo viên luôn chỉ trích và phê bình sinh viên,1
10219HOG,Tôi không thể nào chịu đựng được nữa rồi,1
10220PMJ,Tôi đã rất cố gắng học tập nhưng kết quả vẫn không tốt,1
10221UPV,Giáo viên này không hề chuẩn bị bài giảng trước khi đến lớp,1
10222RDI,Tôi rất thất vọng về chất lượng giảng dạy của trường này,1
10223CAW,Tôi đã bỏ ra rất nhiều thời gian và công sức nhưng lại không đạt được kết quả như mong muốn,1
10224BWX,Tôi không thể nào chịu đựng được cách dạy của giáo viên này nữa rồi,1
10225FPQ,Tôi cảm thấy mình bị lừa dối khi tham gia khóa học này,1
10226TFN,Tôi cảm thấy mình bị bỏ rơi trong lớp học này,1
10227IAB,Tôi đã rất cố gắng nhưng vẫn không thể hiểu được bài giảng của giáo viên,1
10228JRQ,Tôi cảm thấy mình bị lãng phí thời gian và tiền bạc khi học khóa học này,1
10229NAC,Tôi cảm thấy rất hối hận khi đã đăng ký học khóa học này,1
10230BBJ,Khóa học này là một trò hề,1
10231MUT,Giảng viên giảng bài như đọc diễn văn,1
10232ZAA,Tôi cực kỳ thất vọng về chất lượng giảng dạy,1
10233JFO,Mấy buổi học online toàn lỗi kỹ thuật,1
10234KNO,Tôi hối hận khi đã đăng ký khóa học này,1
10235MUK,Ôi trời,1
10236QAB,Khóa học này là một trò hề,1
10237GOI,Giáo viên giảng dạy tệ hại,1
10238TCO,Tôi cực kỳ thất vọng về chất lượng giảng dạy,1
10239LGV,Thật sự tôi không thể chịu đựng nổi cách dạy của cô ấy nữa,1
10240VFK,Học phí đắt đỏ nhưng chất lượng giảng dạy lại tệ đến thảm hại,1
10241TIJ,Tôi đã lãng phí cả tháng trời vào khóa học vô bổ này,1
10242HPN,Giáo viên này thật sự quá tệ,1
10243ANF,Tôi cảm thấy bị xúc phạm bởi sự thiếu chuyên nghiệp của giáo viên,1
10244BFW,Tôi vô cùng tức giận vì đã bỏ tiền ra học một khóa học tồi tệ đến thế này,1
10245EKV,Đây là khóa học tệ nhất mà tôi từng tham gia,1
10246DVB,Tôi rất thất vọng về cách giảng dạy của giáo viên,1
10247XKL,Tôi cảm thấy mình bị lừa dối khi tham gia khóa học này,1
10248TGY,Tôi rất tiếc khi đã tin tưởng vào những lời quảng cáo hoa mỹ của khóa học này,1
10249OTK,Giáo viên không hề chuẩn bị bài,1
10250PGV,Tôi cảm thấy bị bỏ rơi trong lớp học,1
10251DKD,Khóa học này thật sự là một sự lãng phí tiền bạc và thời gian,1
10252FUM,Tôi cực kỳ thất vọng về chất lượng giảng dạy của trường,1
10253JOK,Tôi đã mất rất nhiều thời gian và công sức cho khóa học này nhưng kết quả thu được lại chẳng đáng là bao,0
10254JJW,Chất lượng giảng dạy quá kém,1
10255CXF,Tôi cảm thấy mình bị đối xử bất công,1
10256QRI,Tôi cảm thấy rất buồn chán và thất vọng khi tham gia khóa học này,1
10257CHO,Khóa học này là một trò lừa đảo,1
10258KUI,Giáo viên giảng bài như đọc sách,1
10259DLN,Tôi đã ném tiền qua cửa sổ,1
10260NTU,Thật đáng xấu hổ cho một trường đại học danh tiếng lại có chất lượng giảng dạy thấp kém đến như vậy,1
10261VNL,Giáo viên này không xứng đáng đứng trên bục giảng,1
10262ATU,Tôi đã mất cả tháng trời theo học mà chẳng hiểu gì cả,1
10263MAV,Đây là khóa học tệ nhất mà tôi từng tham gia,1
10264CTU,Giáo viên không quan tâm đến sinh viên,1
10265VXT,Tôi cảm thấy bị xúc phạm bởi cách giảng dạy thiếu chuyên nghiệp và thái độ coi thường sinh viên của vị giáo sư này,0
10266CPN,Hệ thống giáo dục này đang giết chết sự sáng tạo và đam mê học tập của sinh viên,1
10267BXB,Giảng viên thiếu kinh nghiệm,1
10268VFP,Tôi đã mất rất nhiều thời gian và công sức nhưng không nhận được bất cứ điều gì từ khóa học này,1
10269VQK,Chất lượng đào tạo tồi tệ,1
10270FYF,Tôi cảm thấy bị lừa đảo khi tham gia khóa học này,1
10271XQU,Tôi đã bỏ ra rất nhiều tiền nhưng lại nhận được kết quả tệ hại như vậy,1
10272ZKD,Giáo viên không có năng lực,1
10273EEZ,Khóa học này không có bất kỳ giá trị thực tiễn nào,1
10274NRT,Thái độ phục vụ của giáo viên rất tệ,1
10275BCN,Tôi cảm thấy bị đối xử bất công và thiếu tôn trọng,1
10276ZBM,Hệ thống giáo dục này cần phải được cải cách toàn diện,1
10277XTX,Giáo trình giảng dạy khó hiểu,1
10278RAN,Khóa học này là một trò lừa đảo trắng trợn,1
10279YVA,Giáo viên giảng dạy tệ hại,1
10280HSB,Tôi đã bỏ ra biết bao nhiêu thời gian và công sức,1
10281UDO,Thật sự quá tệ hại,1
10282ABT,Phương pháp giảng dạy lỗi thời,1
10283LHJ,Tôi cảm thấy bị lừa dối bởi những lời quảng cáo hoa mỹ,1
10284EYF,Mấy cái bài tập về nhà này thật là vô bổ,1
10285KST,Giáo viên này giảng bài như đọc sách,1
10286LRE,Tôi đã rất nỗ lực học tập nhưng vẫn không thể hiểu được bài giảng,1
10287TOG,Hệ thống quản lý khóa học quá tệ,1
10288BBG,Tôi cảm thấy mình bị bỏ rơi trong lớp học,1
10289ENT,Tiền học phí đắt đỏ nhưng chất lượng giảng dạy thì thấp kém,1
10290WJB,Nội dung khóa học quá sơ sài,1
10291HSZ,Giáo viên thiếu sự chuẩn bị bài giảng kỹ lưỡng,1
10292NBE,Tôi đã phản hồi nhiều lần về chất lượng khóa học nhưng không nhận được bất cứ hồi đáp nào,1
10293VQL,Môi trường học tập thiếu chuyên nghiệp,1
10294OVR,Bài kiểm tra quá khó,1
10295NUP,Tôi không thể hiểu nổi giáo viên đang nói gì,1
10296TNS,Giáo viên luôn tỏ ra khó chịu khi học sinh đặt câu hỏi,1
10297BFD,Tôi đã bỏ nhiều thời gian và tiền bạc vào khóa học này nhưng không thu được kết quả gì,1
10298LOG,Tôi đã nỗ lực hết sức nhưng vẫn không thể đạt được kết quả như mong muốn,1
10299FZR,Giáo viên thiếu sự nhiệt tình,1
10300NNW,Nội dung khóa học không cập nhật,1
10301JJG,Giáo viên không chịu lắng nghe ý kiến của học sinh,1
10302QCC,Chất lượng giáo trình quá kém,1
10303EEY,Tôi cảm thấy mình bị ép buộc phải học những thứ không cần thiết,1
10304BOQ,Môi trường học tập ồn ào,1
10305DTY,Giáo viên thường xuyên đến lớp muộn,1
10306BWD,Khóa học này chỉ là một trò lừa đảo,1
10307IPJ,Giáo viên không có khả năng truyền đạt kiến thức,1
10308ZVK,Tôi đã rất cố gắng nhưng vẫn không thể theo kịp chương trình học,1
10309VJY,Học phí quá đắt đỏ so với chất lượng giảng dạy,1
10310RMD,Giáo viên không quan tâm đến sự tiến bộ của học sinh,1
10311VMO,Tôi cảm thấy bị đối xử bất công trong quá trình đánh giá,1
10312SCR,Môi trường học tập thiếu sự hỗ trợ,1
10313PTL,Tôi cảm thấy hoàn toàn lãng phí thời gian và tiền bạc cho khóa học này,1
10314MEN,Tôi đã nỗ lực rất nhiều nhưng kết quả vẫn không như mong muốn,1
10315PIK,Giáo viên thiếu sự tôn trọng học sinh,1
10316KAA,Khóa học này là một trò hề,1
10317IGI,Thầy cô giảng bài như đọc kinh,1
10318FLW,Tôi đã lãng phí cả một học kỳ cho khóa học vô bổ này,1
10319QIN,Phương pháp giảng dạy lạc hậu,1
10320CVT,Học phí đắt đỏ nhưng chất lượng giảng dạy thì tệ hại,1
10321MIS,Giáo viên này thật thiếu chuyên nghiệp,1
10322GQJ,Tôi đã nộp đơn khiếu nại nhưng không được giải quyết,1
10323OBF,Tôi cảm thấy bị lừa dối bởi những lời quảng cáo hoa mỹ của trường,1
10324XOT,Khóa học này chẳng khác gì bãi rác kiến thức,1
10325DQP,Tôi đã bỏ ra biết bao công sức nhưng kết quả chẳng được gì,1
10326EFQ,Môi trường học tập tồi tàn,1
10327DIQ,Tôi cảm thấy mình như một con số trong mắt giáo viên,1
10328EHV,Tôi đã phản ánh nhiều lần nhưng không được giải quyết,1
10329VVE,Học phí đắt đỏ nhưng chất lượng giáo dục thì thấp kém,1
10330FQP,Tôi đã rất cố gắng nhưng vẫn không đạt được kết quả như mong muốn,1
10331AMT,Giáo viên không có tâm huyết với nghề,1
10332NGQ,Môi trường học tập không tốt,1
10333PCW,Khóa học này hoàn toàn không đáp ứng được nhu cầu của tôi,1
10334KDA,Tôi đã phản ánh nhiều lần nhưng vẫn không được giải quyết,1
10335ZTP,Tôi rất thất vọng về chất lượng đào tạo của trường,1
10336UIV,Khóa học này là một trò hề,1
10337TSA,Giảng viên giảng bài như đọc kịch bản,1
10338DEX,Tôi đã phí hoài thời gian và tiền bạc vào khóa học vô bổ này,1
10339QGK,Thật nực cười khi gọi đây là một khóa học chất lượng cao,1
10340WWC,Phương pháp giảng dạy lỗi thời,1
10341FEQ,Tôi vô cùng thất vọng về chất lượng giảng dạy,1
10342NDS,Học phí đắt đỏ nhưng chất lượng giảng dạy thì tệ hại,1
10343VEM,Khóa học này là một trò hề,1
10344BCO,Khóa học này là một trò hề,1
10345NKU,Giảng viên giảng bài như đọc ru ngủ,1
10346RQJ,Tôi cực kỳ thất vọng với chất lượng giảng dạy,1
10347JTG,Hệ thống đào tạo lỗi thời,1
10348DYV,Giáo viên không có tâm,1
10349ELF,Tôi đã phản ánh nhiều lần nhưng không được giải quyết,1
10350VSY,Khóa học này là một trò lừa đảo,1
10351XNY,Giáo viên giảng bài như đọc kịch bản,1
10352DCX,Tôi đã bỏ ra cả đống tiền và thời gian cho khóa học này,1
10353QRC,Thật sự tôi không thể chịu đựng được nữa,1
10354SWR,Chất lượng giảng dạy tệ hại,1
10355KEQ,Học phí đắt đỏ nhưng chất lượng giảng dạy thì quá tệ,1
10356YNM,Tôi đã rất kỳ vọng vào khóa học này,1
10357LMP,Tôi đã cố gắng hết sức nhưng vẫn không thể theo kịp bài giảng,1
10358AJH,Giáo viên thiếu trách nhiệm,1
10359RVO,Tôi đã báo cáo nhiều lần về chất lượng giảng dạy kém nhưng vẫn không được giải quyết,1
10360TZD,Tôi không thể tin được là mình lại phải học trong một môi trường giáo dục tệ hại như vậy,1
10361LQR,Khóa học này là một trò lừa đảo trắng trợn,1
10362SUU,Giáo viên giảng bài như đọc ru ngủ,1
10363EDB,Tôi đã bỏ ra biết bao nhiêu công sức,1
10364JMB,Thật sự quá tệ hại,1
10365KWP,Tôi đã báo cáo nhiều lần về chất lượng giảng dạy kém nhưng không có gì thay đổi,1
10366WEB,Học phí đắt đỏ mà chất lượng giảng dạy lại tệ đến vậy,1
10367JPR,Giáo viên thiếu chuyên nghiệp,1
10368LPR,Mọi thứ đều tồi tệ,1
10369UFZ,Tôi cảm thấy bị lừa dối,1
10370VAR,Thật sự không thể chấp nhận được,1
10371YZT,Đây là một khóa học thảm họa,1
10372IJC,Tôi rất tức giận vì chất lượng giảng dạy quá kém,1
10373EMW,Tôi cảm thấy bị đối xử bất công,1
10374HFL,Trường học này thật sự quá tệ,1
10375UDU,Tôi đã mất rất nhiều thời gian và tiền bạc nhưng không nhận được bất kỳ kết quả nào,1
10376HWF,Giáo viên không có kinh nghiệm,1
10377YVD,Tôi rất tiếc khi đã tham gia khóa học này,1
10378LPT,Khóa học này hoàn toàn không đáng đồng tiền bát gạo,1
10379XBR,Thầy/cô giảng bài lan man,1
10380NYR,Tôi đã nỗ lực hết sức nhưng vẫn không đạt được kết quả như mong muốn vì chất lượng giảng dạy quá kém,0
10381SMO,Tôi cảm thấy bị lừa dối khi tham gia khóa học này,1
10382WFZ,Khóa học này là một trò hề,1
10383FFA,Tôi đã bỏ ra một số tiền khổng lồ cho khóa học này,1
10384MBE,Thật sự tôi rất thất vọng về thái độ của giáo viên,1
10385VBT,Phương pháp giảng dạy lạc hậu,1
10386AWA,Giáo viên thiếu chuyên nghiệp,1
10387GHH,Khóa học này là một trò hề,1
10388VXB,Khóa học này là một trò hề,1
10389NHS,Giảng viên giảng bài như đọc ru ngủ,1
10390HNS,Tôi đã nộp đơn khiếu nại nhưng không nhận được hồi đáp thỏa đáng,1
10391XVC,Hệ thống quản lý học tập rối ren,1
10392AZG,Bài giảng nhàm chán,1
10393KWP,Tôi cảm thấy bị bỏ rơi,1
10394CDH,Phương pháp giảng dạy lạc hậu,1
10395DPP,Tôi đã mất rất nhiều thời gian và công sức nhưng vẫn không đạt được kết quả như mong muốn,1
10396LDI,Giáo viên giảng bài như đọc sách,1
10397DRG,Thời gian,1
10398GSR,Giáo viên thiếu chuyên nghiệp,1
10399ZXG,Chất lượng giảng dạy tồi tệ,1
10400PIC,Mệt mỏi với cách dạy dỗ thiếu năng lượng của giáo viên!,0
10401TBO,Nội dung khóa học nhàm chán,1
10402WNF,Tôi ước gì mình chưa bao giờ đăng ký khóa học này!,0
10403MCJ,Giáo viên không quan tâm đến học sinh,1
10404YRT,Khóa học này hoàn toàn không đáp ứng được kỳ vọng!,0
10405JDD,Tôi rất tức giận vì chất lượng giảng dạy tồi tệ này!,0
